,Zip,Diff from UTC
0,544,-5
1,601,-4
2,602,-4
3,603,-4
4,604,-4
5,605,-4
6,606,-4
7,610,-4
8,611,-4
9,612,-4
10,613,-4
11,614,-4
12,616,-4
13,617,-4
14,622,-4
15,623,-4
16,624,-4
17,627,-4
18,631,-4
19,636,-4
20,637,-4
21,638,-4
22,641,-4
23,646,-4
24,647,-4
25,650,-4
26,652,-4
27,653,-4
28,656,-4
29,659,-4
30,660,-4
31,662,-4
32,664,-4
33,667,-4
34,669,-4
35,670,-4
36,674,-4
37,676,-4
38,677,-4
39,678,-4
40,680,-4
41,681,-4
42,682,-4
43,683,-4
44,685,-4
45,687,-4
46,688,-4
47,690,-4
48,692,-4
49,693,-4
50,694,-4
51,698,-4
52,703,-4
53,704,-4
54,705,-4
55,707,-4
56,714,-4
57,715,-4
58,716,-4
59,717,-4
60,718,-4
61,719,-4
62,720,-4
63,721,-4
64,723,-4
65,725,-4
66,726,-4
67,727,-4
68,728,-4
69,729,-4
70,730,-4
71,731,-4
72,732,-4
73,733,-4
74,734,-4
75,735,-4
76,736,-4
77,737,-4
78,738,-4
79,739,-4
80,740,-4
81,741,-4
82,742,-4
83,744,-4
84,745,-4
85,751,-4
86,754,-4
87,757,-4
88,765,-4
89,766,-4
90,767,-4
91,769,-4
92,771,-4
93,772,-4
94,773,-4
95,775,-4
96,777,-4
97,778,-4
98,780,-4
99,782,-4
100,783,-4
101,784,-4
102,785,-4
103,786,-4
104,791,-4
105,792,-4
106,794,-4
107,795,-4
108,801,-4
109,802,-4
110,803,-4
111,804,-4
112,805,-4
113,820,-4
114,821,-4
115,822,-4
116,823,-4
117,824,-4
118,830,-4
119,831,-4
120,840,-4
121,841,-4
122,850,-4
123,851,-4
124,901,-4
125,902,-4
126,906,-4
127,907,-4
128,908,-4
129,909,-4
130,910,-4
131,911,-4
132,912,-4
133,913,-4
134,914,-4
135,915,-4
136,916,-4
137,917,-4
138,918,-4
139,919,-4
140,920,-4
141,921,-4
142,922,-4
143,923,-4
144,924,-4
145,925,-4
146,926,-4
147,927,-4
148,928,-4
149,929,-4
150,930,-4
151,931,-4
152,933,-4
153,934,-4
154,935,-4
155,936,-4
156,937,-4
157,939,-4
158,940,-4
159,949,-4
160,950,-4
161,951,-4
162,952,-4
163,953,-4
164,954,-4
165,955,-4
166,956,-4
167,957,-4
168,958,-4
169,959,-4
170,960,-4
171,961,-4
172,962,-4
173,963,-4
174,965,-4
175,966,-4
176,968,-4
177,969,-4
178,970,-4
179,971,-4
180,975,-4
181,976,-4
182,977,-4
183,978,-4
184,979,-4
185,981,-4
186,982,-4
187,983,-4
188,984,-4
189,985,-4
190,986,-4
191,987,-4
192,988,-4
193,1001,-5
194,1002,-5
195,1003,-5
196,1004,-5
197,1005,-5
198,1007,-5
199,1008,-5
200,1009,-5
201,1010,-5
202,1011,-5
203,1012,-5
204,1013,-5
205,1014,-5
206,1020,-5
207,1021,-5
208,1022,-5
209,1026,-5
210,1027,-5
211,1028,-5
212,1029,-5
213,1030,-5
214,1031,-5
215,1032,-5
216,1033,-5
217,1034,-5
218,1035,-5
219,1036,-5
220,1037,-5
221,1038,-5
222,1039,-5
223,1040,-5
224,1041,-5
225,1050,-5
226,1053,-5
227,1054,-5
228,1056,-5
229,1057,-5
230,1059,-5
231,1060,-5
232,1061,-5
233,1062,-5
234,1063,-5
235,1066,-5
236,1068,-5
237,1069,-5
238,1070,-5
239,1071,-5
240,1072,-5
241,1073,-5
242,1074,-5
243,1075,-5
244,1077,-5
245,1079,-5
246,1080,-5
247,1081,-5
248,1082,-5
249,1083,-5
250,1084,-5
251,1085,-5
252,1086,-5
253,1088,-5
254,1089,-5
255,1090,-5
256,1092,-5
257,1093,-5
258,1094,-5
259,1095,-5
260,1096,-5
261,1097,-5
262,1098,-5
263,1101,-5
264,1102,-5
265,1103,-5
266,1104,-5
267,1105,-5
268,1106,-5
269,1107,-5
270,1108,-5
271,1109,-5
272,1111,-5
273,1115,-5
274,1116,-5
275,1118,-5
276,1119,-5
277,1128,-5
278,1129,-5
279,1133,-5
280,1138,-5
281,1139,-5
282,1144,-5
283,1151,-5
284,1152,-5
285,1195,-5
286,1199,-5
287,1201,-5
288,1202,-5
289,1203,-5
290,1220,-5
291,1222,-5
292,1223,-5
293,1224,-5
294,1225,-5
295,1226,-5
296,1227,-5
297,1229,-5
298,1230,-5
299,1235,-5
300,1236,-5
301,1237,-5
302,1238,-5
303,1240,-5
304,1242,-5
305,1243,-5
306,1244,-5
307,1245,-5
308,1247,-5
309,1252,-5
310,1253,-5
311,1254,-5
312,1255,-5
313,1256,-5
314,1257,-5
315,1258,-5
316,1259,-5
317,1260,-5
318,1262,-5
319,1263,-5
320,1264,-5
321,1266,-5
322,1267,-5
323,1270,-5
324,1301,-5
325,1302,-5
326,1330,-5
327,1331,-5
328,1337,-5
329,1338,-5
330,1339,-5
331,1340,-5
332,1341,-5
333,1342,-5
334,1343,-5
335,1344,-5
336,1346,-5
337,1347,-5
338,1349,-5
339,1350,-5
340,1351,-5
341,1354,-5
342,1355,-5
343,1360,-5
344,1364,-5
345,1366,-5
346,1367,-5
347,1368,-5
348,1370,-5
349,1373,-5
350,1375,-5
351,1376,-5
352,1378,-5
353,1379,-5
354,1380,-5
355,1420,-5
356,1430,-5
357,1431,-5
358,1432,-5
359,1434,-5
360,1436,-5
361,1438,-5
362,1440,-5
363,1441,-5
364,1450,-5
365,1451,-5
366,1452,-5
367,1453,-5
